"BERKHOUT" , , , , , , x
"BERLICOM" , , , , , , x
"BERSCHENHOEK" , , , , , , x
"BESOIJEN" , , , , , , x
"BEST" , , , , , , x
"BEUGEN.c.a." , , , , , , x
"BEUNINGEN" , , , , , , x
"BEUSINCHEM" , , , , , , x
"BEVERWIJK" , , , , , , x
"BIERUM" , , , , , , x
"BIERVLIET" , , , , , , x
"BIGGEKERKE" , , , , , , x
"BOLDT (DE)" , , , , , , x
"Baarderadeel" , x, , , , , 
"Baardwijk" , x, x, x, x, x, 
"Baarland" , x, , , , , 
"Baarle - Nassau" , , , , x, , 
"Baarle-Nassau" , x, x, x, , x, 
"Baarn" , x, , , , , 
"Badel" , , x, , , , 
"Baexem" , x, , , , , 
"Baflo" , x, , , , , 
"Bakel c.a." , , x, , , , 
"Bakel en Milheeze" , , , x, , x, 
"Bakel en Millheeze" , , , , x, , 
"Bakel, c. a." , x, , , , , 
"Balgoij" , x, , , , , 
"Barendrecht (Oost- en W.-)" , x, , , , , 
"Barneveld" , x, , , , , 
"Barradeel" , x, , , , , 
"Barsingerhorn" , x, , , , , 
"Barwoutswaarder" , x, , , , , 
"Batenburg" , x, , , , , 
"Bathmen" , x, , , , , 
"Bedum" , x, , , , , 
"Beegden" , x, , , , , 
"Beek" , x, , , , , 
"Beek en Donk" , x, x, x, x, x, 
"Beemster (de)" , x, , , , , 
"Beers" , x, x, x, x, x, 
"Beerta" , x, , , , , 
"Beesd" , x, , , , , 
"Beesel" , x, , , , , 
"Beets" , x, , , , , 
"Beijerland (Nieuw-)" , x, , , , , 
"Beijerland (Oud-)" , x, , , , , 
"Beijerland (Zuid-)" , x, , , , , 
"Beilen" , x, , , , , 
"Belfeld" , x, , , , , x
"Bellingewolde" , x, , , , , 
"Bemelen" , x, , , , , 
"Bemmel" , x, , , , , 
"Bennebroek" , x, , , , , 
"Benschop" , x, , , , , 
"Benthuizen" , x, , , , , 
"Berchem" , x, x, x, , , 
"Berg en Terblijt" , x, , , , , 
"Bergambacht" , x, , , , , 
"Bergeijk" , x, x, x, x, , 
"Bergen" , x, , , , , 
"Bergen op Zoom" , x, x, x, x, x, 
"Bergeyk" , , , , , x, 
"Bergh" , x, , , , , 
"Bergharen" , x, , , , , 
"Berghem" , , , , x, x, 
"Bergschenhoek" , x, , , , , 
"Berkel" , , , , x, , 
